basin_id,kge,violation_burden,dominant_class,violation_counts,n_evaluable,aridity_class,landcover_class
05414000,0.6070689512571932,0.07908464353071033,TimingFailure,"{'R0': 0, 'R1': 10, 'R2': 0, 'R3': 101, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05444000,0.6735043071053203,0.10245352384428859,TimingFailure,"{'R0': 0, 'R1': 55, 'R2': 0, 'R3': 587, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05454000,0.6620356742870158,0.11940011184824459,MagnitudeFailure,"{'R0': 118, 'R1': 907, 'R2': 3, 'R3': 1701, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5429, 'R2': 5479, 'R3': 5429, 'R4': 15, 'R5': 15, 'R6': 15}",,
05458000,0.5752427241864508,0.10650014340468804,TimingFailure,"{'R0': 15, 'R1': 210, 'R2': 16, 'R3': 1652, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05466500,0.7354746667975582,0.12897035433994733,TimingFailure,"{'R0': 120, 'R1': 344, 'R2': 35, 'R3': 1160, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05487980,0.652194962495735,0.23199402045906883,MagnitudeFailure,"{'R0': 887, 'R1': 1673, 'R2': 34, 'R3': 2651, 'R4': 10, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05488200,0.6056861577048473,0.18680162098723807,MagnitudeFailure,"{'R0': 860, 'R1': 1918, 'R2': 19, 'R3': 2537, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5474, 'R2': 5479, 'R3': 5474, 'R4': 15, 'R5': 15, 'R6': 15}",,
05489000,0.6210869209235577,0.22658983651865564,MagnitudeFailure,"{'R0': 870, 'R1': 1809, 'R2': 46, 'R3': 2678, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05495000,0.7512136698478644,0.1846878557957222,MagnitudeFailure,"{'R0': 889, 'R1': 1642, 'R2': 48, 'R3': 2678, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05495500,0.5943642282495132,0.21709210057448786,MagnitudeFailure,"{'R0': 535, 'R1': 1634, 'R2': 15, 'R3': 3220, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05501000,0.7076998645086761,0.2193014018894654,MagnitudeFailure,"{'R0': 854, 'R1': 1814, 'R2': 25, 'R3': 3161, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05503800,0.5728057488838904,0.28400768215588146,MagnitudeFailure,"{'R0': 602, 'R1': 2307, 'R2': 6, 'R3': 3572, 'R4': 10, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4857, 'R2': 5479, 'R3': 4857, 'R4': 15, 'R5': 15, 'R6': 15}",,
05507600,0.5320019210591524,0.26379930953769426,MagnitudeFailure,"{'R0': 222, 'R1': 2614, 'R2': 1, 'R3': 3975, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4920, 'R2': 5479, 'R3': 4920, 'R4': 15, 'R5': 15, 'R6': 15}",,
05508805,0.6413657389343925,0.1961372504088765,MagnitudeFailure,"{'R0': 572, 'R1': 1767, 'R2': 21, 'R3': 3297, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5437, 'R2': 5479, 'R3': 5437, 'R4': 15, 'R5': 15, 'R6': 15}",,
05514500,0.5513750201011127,0.25122936928010847,MagnitudeFailure,"{'R0': 794, 'R1': 1877, 'R2': 12, 'R3': 3665, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05525500,0.7414432268479552,0.1394571480718588,MagnitudeFailure,"{'R0': 227, 'R1': 891, 'R2': 25, 'R3': 2014, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05556500,0.6581584141950715,0.13645868641305764,MagnitudeFailure,"{'R0': 4, 'R1': 939, 'R2': 1, 'R3': 2098, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05584500,0.7396483472555415,0.14323781711991243,MagnitudeFailure,"{'R0': 418, 'R1': 878, 'R2': 7, 'R3': 1999, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05585000,0.7463642208318425,0.14905222538002244,MagnitudeFailure,"{'R0': 390, 'R1': 912, 'R2': 4, 'R3': 2219, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05591550,0.6955607307600955,0.16195905617001038,MagnitudeFailure,"{'R0': 26, 'R1': 1295, 'R2': 0, 'R3': 2145, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4719, 'R2': 5479, 'R3': 4719, 'R4': 15, 'R5': 15, 'R6': 15}",,
05592050,0.7287368036088899,0.16111397954358586,MagnitudeFailure,"{'R0': 251, 'R1': 1967, 'R2': 6, 'R3': 2855, 'R4': 3, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5474, 'R2': 5479, 'R3': 5474, 'R4': 15, 'R5': 15, 'R6': 15}",,
05592575,0.5832284714176945,0.21819354449470277,MagnitudeFailure,"{'R0': 107, 'R1': 1848, 'R2': 0, 'R3': 3135, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4498, 'R2': 5479, 'R3': 4498, 'R4': 15, 'R5': 15, 'R6': 15}",,
05593575,0.7131851035083524,0.21127642562427407,MagnitudeFailure,"{'R0': 194, 'R1': 2194, 'R2': 4, 'R3': 3867, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5463, 'R2': 5479, 'R3': 5463, 'R4': 15, 'R5': 15, 'R6': 15}",,
05593900,0.6722424526605838,0.24098037924478405,MagnitudeFailure,"{'R0': 402, 'R1': 1810, 'R2': 37, 'R3': 3419, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5194, 'R2': 5479, 'R3': 5194, 'R4': 15, 'R5': 15, 'R6': 15}",,
05595730,0.5947377820849268,0.20488871053101837,MagnitudeFailure,"{'R0': 124, 'R1': 2110, 'R2': 10, 'R3': 3330, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4759, 'R2': 5479, 'R3': 4759, 'R4': 15, 'R5': 15, 'R6': 15}",,
06037500,0.6598222296083383,0.057299298620707644,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 6, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06043500,0.9113510338198997,0.038225605993446835,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 5, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06154410,0.4099634479973888,0.08659701659310577,TimingFailure,"{'R0': 0, 'R1': 31, 'R2': 0, 'R3': 512, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5114, 'R1': 5114, 'R2': 5114, 'R3': 5114, 'R4': 14, 'R5': 14, 'R6': 14}",,
06188000,0.8592889555419517,0.08480692514275286,TimingFailure,"{'R0': 0, 'R1': 3, 'R2': 0, 'R3': 1058, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06191500,0.9128267208080526,0.04954849251253705,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 74, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06221400,0.8551007895448911,0.1516282950486272,TimingFailure,"{'R0': 0, 'R1': 443, 'R2': 0, 'R3': 2085, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06224000,0.8728038767703742,0.0932686708558218,TimingFailure,"{'R0': 0, 'R1': 7, 'R2': 0, 'R3': 648, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06278300,0.8167586897493742,0.09867806951216333,TimingFailure,"{'R0': 0, 'R1': 63, 'R2': 0, 'R3': 1530, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06280300,0.9020382309495167,0.05899408129742133,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 71, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06289000,0.7874168537766832,0.050122111264655524,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 96, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06291500,0.7779216840143519,0.08980948656349518,TimingFailure,"{'R0': 0, 'R1': 54, 'R2': 1, 'R3': 603, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5114, 'R1': 5114, 'R2': 5114, 'R3': 5114, 'R4': 14, 'R5': 14, 'R6': 14}",,
06311000,0.7192811563402473,0.09970884502733379,TimingFailure,"{'R0': 6, 'R1': 60, 'R2': 7, 'R3': 829, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06332515,0.26273832498045047,0.4067745051299006,MagnitudeFailure,"{'R0': 2654, 'R1': 4341, 'R2': 292, 'R3': 4724, 'R4': 7, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5302, 'R2': 5479, 'R3': 5302, 'R4': 15, 'R5': 15, 'R6': 15}",,
06339100,0.09296047552936493,0.38873080239075225,MagnitudeFailure,"{'R0': 2103, 'R1': 3438, 'R2': 1124, 'R3': 4061, 'R4': 9, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5361, 'R2': 5479, 'R3': 5361, 'R4': 15, 'R5': 15, 'R6': 15}",,
06339500,-0.005773923165080186,0.45063489166427656,MagnitudeFailure,"{'R0': 3027, 'R1': 3769, 'R2': 2089, 'R3': 4015, 'R4': 10, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06344600,0.03828871605621276,0.4013087283869642,MagnitudeFailure,"{'R0': 2140, 'R1': 3329, 'R2': 962, 'R3': 3772, 'R4': 10, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 4921, 'R2': 5479, 'R3': 4921, 'R4': 15, 'R5': 15, 'R6': 15}",,
06350000,-0.10373851898089992,0.44034278066035687,MagnitudeFailure,"{'R0': 2658, 'R1': 3443, 'R2': 2217, 'R3': 3822, 'R4': 11, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06352000,-0.0032086715017916045,0.4111733979958109,MagnitudeFailure,"{'R0': 2193, 'R1': 3358, 'R2': 1381, 'R3': 3724, 'R4': 12, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
06353000,0.2101463844620629,0.37238470313830113,MagnitudeFailure,"{'R0': 1333, 'R1': 3030, 'R2': 629, 'R3': 3570, 'R4': 14, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5018, 'R2': 5479, 'R3': 5018, 'R4': 15, 'R5': 15, 'R6': 15}",,
06354000,0.15001327461248903,0.3351282305846586,MagnitudeFailure,"{'R0': 954, 'R1': 2805, 'R2': 614, 'R3': 3647, 'R4': 13, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5408, 'R2': 5479, 'R3': 5408, 'R4': 15, 'R5': 15, 'R6': 15}",,
06360500,0.013725343143597302,0.3173839390963211,MagnitudeFailure,"{'R0': 998, 'R1': 2663, 'R2': 379, 'R3': 3087, 'R4': 12, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 4913, 'R2': 5479, 'R3': 4913, 'R4': 15, 'R5': 15, 'R6': 15}",,
06404000,0.435293717611113,0.2722707800922652,MagnitudeFailure,"{'R0': 1852, 'R1': 2297, 'R2': 1312, 'R3': 2191, 'R4': 6, 'R5': 0, 'R6': 1}","{'R0': 5479, 'R1': 5208, 'R2': 5479, 'R3': 5208, 'R4': 15, 'R5': 15, 'R6': 15}",,
06406000,0.08164277806322762,0.4477546302331847,MagnitudeFailure,"{'R0': 2726, 'R1': 3687, 'R2': 2723, 'R3': 2923, 'R4': 8, 'R5': 0, 'R6': 6}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
